Rank,Feature,Importance
1,rst_count_ratio,1880.797119140625
2,fin_count_ratio,667.55517578125
3,syn_count_ratio,599.267578125
4,syn_count,448.9819641113281
5,bwd_packet_length_std,393.25054931640625
6,bwd_packet_length_mean,295.6630554199219
7,ack_count,241.40939331054688
8,avg_packet_size,112.27183532714844
9,psh_count_ratio,72.89647674560547
10,is_registered_port,72.63958740234375
11,dst_port,67.4029541015625
12,fwd_packet_length_max,40.88890838623047
13,fwd_bytes,37.04592514038086
14,bwd_bytes,31.499265670776367
15,fwd_packet_length_std,29.261608123779297
16,is_well_known_port,24.19792938232422
17,bwd_packet_length_max,21.712032318115234
18,total_payload_bytes,19.774173736572266
19,ack_count_ratio,15.350449562072754
20,nlp_special_char_ratio,15.163792610168457
21,fwd_packet_length_mean,14.589238166809082
22,rst_count,13.459656715393066
23,content_length,10.48676586151123
24,bwd_packet_length_min,10.026045799255371
25,fwd_bwd_bytes_ratio,8.32870864868164
26,active_mean,7.863766670227051
27,avg_entropy,6.01335334777832
28,active_max,5.7159504890441895
29,idle_max,5.493195533752441
30,idle_mean,5.485442638397217
31,bwd_packets,4.804635047912598
32,active_idle_ratio,4.775376319885254
33,fwd_packets,4.224016189575195
34,fwd_bwd_packets_ratio,3.629122257232666
35,flow_duration,3.5796709060668945
36,packets_per_second,3.4806559085845947
37,payload_ratio,3.333491563796997
38,active_min,2.7871034145355225
39,total_packets,2.3875226974487305
40,avg_payload_size,1.9371063709259033
41,flow_iat_max,1.8082940578460693
42,flow_iat_min,1.5985227823257446
43,flow_iat_mean,1.537249207496643
44,total_bytes,1.4906786680221558
45,avg_ttl,1.490017294883728
46,flow_iat_std,1.416596531867981
47,packet_rate,1.3544007539749146
48,bytes_per_second,1.3030287027359009
49,active_std,1.1285510063171387
50,fwd_packet_length_min,1.096737027168274
