Rank,Feature,Importance
1,dst_port,0.16113066302089574
2,psh_count_ratio,0.08776887173845596
3,psh_count,0.07287053560779223
4,fwd_psh_flags,0.06993374552468376
5,bwd_psh_flags,0.048193102255197864
6,nlp_special_char_ratio,0.039720815366331486
7,ack_count_ratio,0.03702432382906973
8,is_common_target_port,0.0367712318001423
9,syn_count,0.03103015500881813
10,ack_count,0.02915991128190454
11,nlp_malicious_confidence,0.026065066166881763
12,nlp_entropy_score,0.02508731607414537
13,syn_count_ratio,0.020301117082637488
14,fwd_bwd_packets_ratio,0.018574031291133927
15,bwd_packets,0.017704192404583548
16,bwd_packet_length_mean,0.016225928193439525
17,fwd_packet_length_std,0.015203370962333243
18,protocol,0.01513783008169414
19,fin_count_ratio,0.014733769749537435
20,fwd_packet_length_max,0.014389226825401221
21,avg_entropy,0.014093370614110303
22,avg_payload_size,0.013582353990487949
23,avg_packet_size,0.013328001431008462
24,total_payload_bytes,0.01288738428807873
25,bwd_packet_length_std,0.012884748931167136
26,payload_ratio,0.012761268057471934
27,fwd_packet_length_mean,0.010508222904059672
28,fwd_packet_length_min,0.010413884254626297
29,total_packets,0.010003543817016403
30,bwd_packet_length_max,0.009513613758110868
31,fwd_bytes,0.009513059336690399
32,content_length,0.009355090549765509
33,fin_count,0.009055909277637704
34,total_bytes,0.008139152316821519
35,bwd_packet_length_min,0.0066242305785465146
36,flow_iat_max,0.005846467637812991
37,flow_iat_mean,0.004455833863700911
38,fwd_packets,0.0035239715122395735
39,flow_iat_std,0.0035136049917187818
40,fwd_bwd_bytes_ratio,0.003391940705605909
41,idle_max,0.0031408290209018123
42,idle_mean,0.0029406361882876307
43,flow_duration,0.0028992441187508833
44,bwd_bytes,0.0027083297473702054
45,packet_rate,0.002490858369394927
46,packets_per_second,0.0014034621729163343
47,bytes_per_second,0.001363113173863129
48,active_idle_ratio,0.0012653867025636944
49,idle_min,0.0007405179168841897
50,avg_ttl,0.0006267655073103757
